Artist,Song,Streams,Date
Miley Cyrus,Rockin' Around The Christmas Tree - Recorded at Spotify Studios NYC,267211,12/23/2017
Mariah Carey,All I Want for Christmas Is You,1670708,12/24/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,1255348,12/24/2017
Miley Cyrus,Rockin' Around The Christmas Tree - Recorded at Spotify Studios NYC,377056,12/24/2017
Michael Bublé,All I Want for Christmas Is You,261131,12/24/2017
Mariah Carey,All I Want for Christmas Is You,2075827,12/25/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,1638633,12/25/2017
Miley Cyrus,Rockin' Around The Christmas Tree - Recorded at Spotify Studios NYC,409593,12/25/2017
Michael Bublé,All I Want for Christmas Is You,300796,12/25/2017
Mariah Carey,All I Want for Christmas Is You,465291,12/26/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,310710,12/26/2017
Mariah Carey,All I Want for Christmas Is You,192949,12/27/2017
Mariah Carey,All I Want for Christmas Is You,237514,11/1/2018
Mariah Carey,All I Want for Christmas Is You,259406,11/2/2018
Mariah Carey,All I Want for Christmas Is You,237826,11/3/2018
Mariah Carey,All I Want for Christmas Is You,248038,11/4/2018
Mariah Carey,All I Want for Christmas Is You,269259,11/5/2018
Mariah Carey,All I Want for Christmas Is You,276288,11/6/2018
Mariah Carey,All I Want for Christmas Is You,271615,11/7/2018
Mariah Carey,All I Want for Christmas Is You,291975,11/8/2018
Mariah Carey,All I Want for Christmas Is You,364184,11/9/2018
Mariah Carey,All I Want for Christmas Is You,369623,11/10/2018
Mariah Carey,All I Want for Christmas Is You,379150,11/11/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,199761,11/11/2018
Mariah Carey,All I Want for Christmas Is You,407094,11/12/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,224775,11/12/2018
Mariah Carey,All I Want for Christmas Is You,412574,11/13/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,230670,11/13/2018
Mariah Carey,All I Want for Christmas Is You,439060,11/14/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,240165,11/14/2018
Mariah Carey,All I Want for Christmas Is You,519865,11/15/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,292833,11/15/2018
Mariah Carey,All I Want for Christmas Is You,530760,11/16/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,295411,11/16/2018
Mariah Carey,All I Want for Christmas Is You,536368,11/17/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,303933,11/17/2018
Mariah Carey,All I Want for Christmas Is You,528633,11/18/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,314967,11/18/2018
Mariah Carey,All I Want for Christmas Is You,538997,11/19/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,326684,11/19/2018
Mariah Carey,All I Want for Christmas Is You,521205,11/20/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,332017,11/20/2018
Mariah Carey,All I Want for Christmas Is You,523590,11/21/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,402029,11/21/2018
Mariah Carey,All I Want for Christmas Is You,569383,11/22/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,469208,11/22/2018
Mariah Carey,All I Want for Christmas Is You,675326,11/23/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,566087,11/23/2018
Mariah Carey,All I Want for Christmas Is You,773345,11/24/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,618761,11/24/2018
Mariah Carey,All I Want for Christmas Is You,797683,11/25/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,634151,11/25/2018
Mariah Carey,All I Want for Christmas Is You,781990,11/26/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,627536,11/26/2018
Mariah Carey,All I Want for Christmas Is You,775242,11/27/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,609486,11/27/2018
Mariah Carey,All I Want for Christmas Is You,786572,11/28/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,608670,11/28/2018
Mariah Carey,All I Want for Christmas Is You,810151,11/29/2018
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,627782,11/29/2018
Mariah Carey,All I Want for Christmas Is You,850121,11/30/2018
Brenda Lee,Rockin' Around The Christmas Tree,635359,11/30/2018
Mariah Carey,All I Want for Christmas Is You,1132569,12/1/2018
Brenda Lee,Rockin' Around The Christmas Tree,825457,12/1/2018
Mariah Carey,All I Want for Christmas Is You,1085898,12/2/2018
Brenda Lee,Rockin' Around The Christmas Tree,777258,12/2/2018
Mariah Carey,All I Want for Christmas Is You,953575,12/3/2018
Brenda Lee,Rockin' Around The Christmas Tree,725284,12/3/2018
Mariah Carey,All I Want for Christmas Is You,950510,12/4/2018
Brenda Lee,Rockin' Around The Christmas Tree,694793,12/4/2018
