"DateTime","Monthly Listeners","Flags on series","Flags on series","Flags on series","Change","Flags on series","Flags on series"
"2019-04-11 20:00:00",,
"2019-04-15 00:00:00",2575012.7142857,,,,2604.1428571429
"2019-04-18 20:00:00",,
"2019-04-22 00:00:00",2592801.5714286,,,,1427.1428571429
"2019-04-24 20:00:00",,,
"2019-04-29 00:00:00",2604714.8571429,,,,2194.4285714286
"2019-05-06 00:00:00",2619335,,,,3730.1428571429
"2019-05-13 00:00:00",2669249.8571429,,,,7226.2857142857
"2019-05-16 20:00:00",,
"2019-05-20 00:00:00",2709148.5714286,,,,6169
"2019-05-27 00:00:00",2767092.2857143,,,,9521.7142857143
"2019-05-30 20:00:00",,
"2019-06-03 00:00:00",2837977.8571429,,,,8465.2857142857
"2019-06-06 20:00:00",,
"2019-06-07 20:00:00",,,
"2019-06-10 00:00:00",2873047.1428571,,,,3196.5714285714
"2019-06-13 20:00:00",,
"2019-06-17 00:00:00",2880494,,,,-103.42857142857
"2019-06-24 00:00:00",2863765,,,,-4279.7142857143
"2019-06-27 20:00:00",,
"2019-07-01 00:00:00",2821150.7142857,,,,-7164.1428571429
"2019-07-08 00:00:00",2780252.7142857,,,,-3196.2857142857
"2019-07-15 00:00:00",2789969.4285714,,,,2884.8571428571
"2019-07-18 20:00:00",,
"2019-07-22 00:00:00",2797017.8571429,,,,1356.1428571429
"2019-07-25 20:00:00",,
"2019-07-29 00:00:00",2831223,,,,6574.4285714286
"2019-08-01 20:00:00",,
"2019-08-05 00:00:00",2866522,,,,2865.4285714286
"2019-08-05 20:00:00",,
"2019-08-12 00:00:00",2875411.8571429,,,,1574.1428571429
"2019-08-19 00:00:00",2899269.4285714,,,,3905.7142857143
"2019-08-22 20:00:00",,
"2019-08-26 00:00:00",2926082.4285714,,,,1958
"2019-08-29 20:00:00",,
"2019-09-02 00:00:00",2926590.4285714,,,,502.14285714286
"2019-09-06 20:00:00",,,
"2019-09-09 00:00:00",2908456.4285714,,,,-4046
"2019-09-16 00:00:00",2889539.4285714,,,,-2386.5714285714
"2019-09-22 20:00:00",,
"2019-09-23 00:00:00",2853554.2857143,,,,-4581.2857142857
"2019-09-29 20:00:00",,
"2019-09-30 00:00:00",2847819.7142857,,,,-190.28571428571
"2019-10-07 00:00:00",2856612.5714286,,,,2072.1428571429
"2019-10-13 20:00:00",,
"2019-10-14 00:00:00",2870283.2857143,,,,2198.8571428571
"2019-10-17 20:00:00",,
"2019-10-21 00:00:00",2887038.7142857,,,,1429.4285714286
"2019-10-24 20:00:00",,
"2019-10-28 00:00:00",2890332.8571429,,,,143.71428571429
"2019-11-04 00:00:00",2893600.3333333,,,,1236.6666666667
"2019-11-07 19:00:00",,
"2019-11-08 19:00:00",,
"2019-11-14 19:00:00",,
"2019-11-15 19:00:00",,,
"2019-11-16 19:00:00",,
"2019-11-21 19:00:00",,
